curvature;km;beauty;speedlimit
161;0.2;;
44;0.1;;
-;0.1;;
32;0.1;;
229;0.2;;
79;0.1;;
36;0.1;;
-;0.1;;
-;0.1;;
-;0.3;;
53;0.2;;
84;0.2;;
392;0.6;;
182;0.5;;
675;0.8;;
2206;2;;
379;0.3;;
1706;2.2;;
-;0.1;;
519;1.1;;
16;0.1;;
1212;1.6;;
94;0.1;;
220;0.2;;
9;0.1;;
20;0.1;;
9;0.1;;
439;0.4;;
30;0.1;;
445;0.9;;
189;0.4;;
26;0.1;;
