curvature;km;beauty;speedlimit
812;2.4;;
8;0.1;;
3;0.1;;
482;0.8;;
245;0.3;;
695;1.3;;
1051;1.2;;
18;0.1;;
525;0.5;;
39;0.1;;
609;0.6;;
9;0.1;;
869;0.8;;
175;0.1;;
23;0.1;;
87;0.1;;
131;0.1;;
55;0.1;;
138;0.3;;
46;0.1;;
215;0.3;;
1876;2.6;;
31;0.1;;
18;0.1;;
17;0.1;;
29;0.1;;
10;0.1;;
427;0.9;;
-;0.1;;
-;0.1;;
307;0.3;;
50;0.1;;
1280;2.1;;
38;0.1;;
36;0.1;;
99;0.3;;
456;0.6;;
333;0.3;;
38;0.1;;
141;0.1;;
118;0.1;;
637;1.6;;
-;0.1;;
-;0.1;;
-;0.1;;
