curvature;km;beauty;speedlimit
-;0.1;;
-;0.1;;
-;0.1;;
1394;3.2;;
11;0.1;;
-;0.1;;
-;0.1;;
31;0.2;;
73;0.1;;
73;0.2;;
-;0.1;;
31;0.1;;
127;0.1;;
6;0.1;;
120;0.3;;
-;0.1;;
2818;5.7;;
155;1.2;;
21;0.1;;
21;0.1;;
-;0.1;;
-;0.1;;
37;0.3;;
84;0.1;;
22;0.1;;
692;0.6;;
13;0.1;;
-;0.1;;
-;0.1;;
-;0.1;;
746;4.3;;
-;0.1;;
-;0.5;;
-;0.4;;
-;0.1;;
442;0.7;;
