curvature;km;beauty;speedlimit
49;0.1;;
-;0.1;;
-;0.1;;
-;0.1;;
81;0.3;;
87;0.3;;
24;0.1;;
-;0.1;;
25;0.1;;
75;0.4;;
28;0.5;;
36;0.1;;
-;0.1;;
79;0.1;;
27;0.1;;
-;0.1;;
1633;2.2;;
217;0.4;;
117;0.2;;
44;0.1;;
79;0.1;;
213;0.3;;
186;0.1;;
10;0.1;;
223;0.4;;
95;0.1;;
211;0.4;;
-;0.1;;
102;0.2;;
1241;2.8;;
585;0.8;;
-;0.1;;
53;0.2;;
48;0.1;;
725;1.6;;
