curvature;km;beauty;speedlimit
0;0.1;;
258;0.2;;
445;0.4;;
224;0.2;;
252;0.3;;
80;0.1;;
20;0.1;;
843;0.8;;
255;0.2;;
42;0.1;;
71;0.1;;
128;0.1;;
509;0.6;;
4694;4.1;;
22;0.1;;
-;0.1;;
-;0.1;;
-;0.1;;
-;0.1;;
53;0.2;;
69;0.1;;
157;0.1;;
3182;4.3;;
-;0.1;;
-;0.1;;
51;0.1;;
224;0.2;;
-;0.1;;
304;0.6;;
